Date,Name,Nationality,Cause of death,Mountain
"April 5, 1970",Nima Dorje,Nepal,Avalanche,Mount Everest
"October 18, 1969",Phu Dorjee Sherpa,Nepal,Fall,Mount Everest
"May 1, 1966",Ma Gao-shu,China,Fall,Mount Everest
"March 23, 1963",Jake Breitenbach,United States,Fall,Mount Everest
"April 28, 1962",Nawang Tshering,Nepal,Unknown,Mount Everest
"April 29, 1960",Shao Shi-Ching [note 3],China,Unknown,Mount Everest
"April 11, 1960",Wang Ji,China,Illness,Mount Everest
"October 31, 1952",Dorje Mingma,Nepal,Fall,Mount Everest
"May 31, 1934[note 2]",Maurice Wilson,United Kingdom,Exposure,Mount Everest
"June 9, 1924",George Mallory,United Kingdom,Fall,Mount Everest
"June 9, 1924",Andrew Irvine,United Kingdom,Unknown,Mount Everest
"May 17, 1924",Lance-Naik Shamsherpun,Nepal,Unknown,Mount Everest
"May 13, 1924",Man Bahadur,Nepal,Illness,Mount Everest
"June 7, 1922",Temba,Nepal,Avalanche,Mount Everest
"June 7, 1922",Sange,Nepal,Avalanche,Mount Everest
"June 7, 1922",Pema,Nepal,Avalanche,Mount Everest
"June 7, 1922",Pasang,Nepal,Avalanche,Mount Everest
"June 7, 1922",Norbu,Nepal,Avalanche,Mount Everest
"June 7, 1922",Lhakpa,Nepal,Avalanche,Mount Everest
"June 7, 1922",Dorge,Nepal,Avalanche,Mount Everest
